,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,origin_descripcion,origin_temperatura,origin_minima,origin_maxima,origin_sensacion_termica,origin_nubes,destination_descripcion,destination_temperatura,destination_minima,destination_maxima,destination_sensacion_termica,destination_nubes
100,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
101,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
102,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
103,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
104,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
105,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
106,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
107,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
108,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
109,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
110,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
111,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
112,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
113,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
114,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
115,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
116,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
117,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
118,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
119,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
120,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
121,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
122,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
123,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
124,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
125,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
126,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
127,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
128,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
129,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
130,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
131,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
132,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
133,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
134,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
135,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
136,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
137,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
138,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
139,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
140,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
141,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
142,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
143,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
144,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
145,TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,cielo claro,21.0,19.36,21.0,21.19,0,nubes,20.85,20.57,22.32,20.04,100
146,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
147,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
148,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
149,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
150,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
151,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
152,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
153,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
154,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
155,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
156,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
157,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
158,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
159,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
160,MEX,GDL,19.4363,-99.0721,20.5218,-103.311,nubes,20.85,20.57,22.32,20.04,100,cielo claro,30.0,28.45,30.0,28.14,0
161,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
162,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
163,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
164,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
165,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
166,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
167,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
168,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
169,GDL,MEX,20.5218,-103.311,19.4363,-99.0721,cielo claro,30.0,28.45,30.0,28.14,0,nubes,20.85,20.57,22.32,20.04,100
